,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
87,MBF-to-Cln3 -> 0to1 | Swi5-to-Cdh1 -> 0to1,12513,0,12513
88,MBF-to-Cln3 -> 0to1 | Swi5-to-Cdh1 -> 0to-1,13258,0,13258
89,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Cdh1 -> 1to0,13240,0,13240
90,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Cdh1 -> 1to-1,13252,0,13252
91,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cdh1 -> -1to0",12652,0,12652
92,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cdh1 -> -1to1",12568,0,12568
93,MBF-to-Cln3 -> 0to1 | Sic1-to-Cdh1 -> 0to1,12472,0,12472
94,MBF-to-Cln3 -> 0to1 | Sic1-to-Cdh1 -> 0to-1,13261,0,13261
95,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cdh1 -> -1to0",12558,0,12558
96,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cdh1 -> -1to1",12582,0,12582
97,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cdh1 -> 0to1",12616,0,12616
98,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cdh1 -> 0to-1",12471,0,12471
99,MBF-to-Cln3 -> 0to1 | Cln3-to-Swi5 -> 0to1,9361,0,9361
100,MBF-to-Cln3 -> 0to1 | Cln3-to-Swi5 -> 0to-1,12326,0,12326
101,MBF-to-Cln3 -> 0to1 | MBF-to-Swi5 -> 0to1,9193,0,9193
102,MBF-to-Cln3 -> 0to1 | MBF-to-Swi5 -> 0to-1,12273,0,12273
103,MBF-to-Cln3 -> 0to1 | SBF-to-Swi5 -> 0to1,9173,0,9173
104,MBF-to-Cln3 -> 0to1 | SBF-to-Swi5 -> 0to-1,12390,0,12390
105,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Swi5 -> 0to1",9655,0,9655
106,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Swi5 -> 0to-1",12428,0,12428
107,MBF-to-Cln3 -> 0to1 | Cdh1-to-Swi5 -> 0to1,13296,0,13296
108,MBF-to-Cln3 -> 0to1 | Cdh1-to-Swi5 -> 0to-1,11538,0,11538
109,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Swi5 -> 1to0,11050,0,11050
110,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Swi5 -> 1to-1,13469,0,13469
111,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Swi5 -> 0to1",12515,0,12515
112,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Swi5 -> 0to-1",9760,0,9760
113,MBF-to-Cln3 -> 0to1 | Sic1-to-Swi5 -> 0to1,9928,0,9928
114,MBF-to-Cln3 -> 0to1 | Sic1-to-Swi5 -> 0to-1,12505,0,12505
115,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Swi5 -> -1to0",12517,0,12517
116,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Swi5 -> -1to1",12605,0,12605
117,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Swi5 -> 1to0",11260,0,11260
118,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Swi5 -> 1to-1",11838,0,11838
119,MBF-to-Cln3 -> 0to1 | Cln3-to-Cdc2014 -> 0to1,9276,0,9276
120,MBF-to-Cln3 -> 0to1 | Cln3-to-Cdc2014 -> 0to-1,12249,0,12249
121,MBF-to-Cln3 -> 0to1 | MBF-to-Cdc2014 -> 0to1,9114,0,9114
122,MBF-to-Cln3 -> 0to1 | MBF-to-Cdc2014 -> 0to-1,12479,0,12479
123,MBF-to-Cln3 -> 0to1 | SBF-to-Cdc2014 -> 0to1,9313,0,9313
124,MBF-to-Cln3 -> 0to1 | SBF-to-Cdc2014 -> 0to-1,12278,0,12278
125,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Cdc2014 -> 0to1",9634,0,9634
126,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Cdc2014 -> 0to-1",12218,0,12218
127,MBF-to-Cln3 -> 0to1 | Cdh1-to-Cdc2014 -> 0to1,12101,0,12101
