,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
80,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Cdh1 -> 0to-1",12470,0,12470
81,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Cdh1 -> 0to1",12539,0,12539
82,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Cdh1 -> 0to-1",12470,0,12470
83,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cdh1 -> 0to1",12380,0,12380
84,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cdh1 -> 0to-1",12469,0,12469
85,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Cdh1 -> -1to0",12323,0,12323
86,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Cdh1 -> -1to1",11708,0,11708
87,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cdh1 -> 0to1",12513,0,12513
88,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cdh1 -> 0to-1",13258,0,13258
89,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Cdh1 -> 1to0",13240,0,13240
90,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Cdh1 -> 1to-1",13252,0,13252
91,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cdh1 -> -1to0",12652,0,12652
92,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cdh1 -> -1to1",12568,0,12568
93,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cdh1 -> 0to1",12472,0,12472
94,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cdh1 -> 0to-1",13261,0,13261
95,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cdh1 -> -1to0",12558,0,12558
96,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cdh1 -> -1to1",12582,0,12582
97,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cdh1 -> 0to1",12616,0,12616
98,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cdh1 -> 0to-1",12471,0,12471
99,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Swi5 -> 0to1",9361,0,9361
100,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Swi5 -> 0to-1",12326,0,12326
101,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Swi5 -> 0to1",9193,0,9193
102,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Swi5 -> 0to-1",12273,0,12273
103,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Swi5 -> 0to1",9173,0,9173
104,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Swi5 -> 0to-1",12390,0,12390
105,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Swi5 -> 0to1",9655,0,9655
106,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Swi5 -> 0to-1",12428,0,12428
107,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Swi5 -> 0to1",13296,0,13296
108,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Swi5 -> 0to-1",11538,0,11538
109,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Swi5 -> 1to0",11050,0,11050
110,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Swi5 -> 1to-1",13469,0,13469
111,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Swi5 -> 0to1",12515,0,12515
112,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Swi5 -> 0to-1",9760,0,9760
